,E-1,E-10,E-13,E-15,E-2,E-3,E-4,E-5,E-6,E-8,E-AUX8,W-1,W-10,W-11,W-12,W-2,W-3,W-4,W-5,W-6,W-7,W-8,W-9,W-AUX3,
E-1,0,116.166,77.256,353.565,319.813,362.741,371.71,170.32,114.213,145.19,325.669,875.793,748.924,773.491,945.492,895.78,791.287,793.31,889.32,848.646,875.382,456.231,612.757,882.911,E-1
E-10,116.166,0,59.1,429.938,405.553,446.061,455.827,267.667,229.898,261.028,412.403,761.755,652.756,672.727,842.947,792.31,694.375,698.204,798.134,767.218,794.28,351.562,577.336,791.367,E-10
E-13,77.256,59.1,0,371.231,346.453,387.006,396.756,245.658,183.156,214.186,353.308,802.194,671.921,696.238,868.244,818.567,714.23,716.435,813.049,774.467,801.315,379.304,555.645,806.576,E-13
E-15,353.565,429.938,371.231,0,51.366,35.007,43.069,413.756,290.281,282.659,52.632,1069.761,843.323,886.95,1054.191,1013.021,884.572,878.158,947.597,870.61,893.319,632.537,516.162,943.328,E-15
E-2,319.813,405.553,346.453,51.366,0,43.51,51.96,366.502,246.428,236.054,7.896,1074.696,860.804,902.275,1071.541,1028.9,902.63,897.285,970.825,897.725,921.128,635.166,552.619,966.246,E-2
E-3,362.741,446.061,387.006,35.007,43.51,0,10.235,408.169,289.584,278.321,39.22,1100.488,877.19,920.408,1088.075,1046.619,918.552,912.315,982.299,905.578,928.309,662.293,550.67,977.998,E-3
E-4,371.71,455.827,396.756,43.069,51.96,10.235,0,414.292,296.941,284.925,46.781,1110.389,886.193,929.607,1097.071,1055.757,927.493,921.147,990.65,913.413,936.036,672.31,556.985,986.388,E-4
E-5,170.32,267.667,245.658,413.756,366.502,408.169,414.292,0,130.485,131.214,369.24,1023.747,916.682,939.081,1110.037,1059.628,958.791,961.496,1058.676,1018.966,1045.698,618.851,771.033,1052.183,E-5
E-6,114.213,229.898,183.156,290.281,246.428,289.584,296.941,130.485,0,31.19,250.406,985.24,840.801,869.473,1042.39,993.788,883.545,883.875,975.551,926.118,952.306,558.278,652.768,969.522,E-6
E-8,145.19,261.028,214.186,282.659,236.054,278.321,284.925,131.214,31.19,0,239.183,1016.13,868.818,898.228,1071.226,1022.848,911.602,911.609,1002.362,951.179,977.223,588.269,670.182,996.414,E-8
E-AUX8,325.669,412.403,353.308,52.632,7.896,39.22,46.781,369.24,250.406,239.183,0,1082.587,868.373,909.938,1079.128,1036.547,910.176,904.777,978.08,904.681,928.026,643.061,558.491,973.521,E-AUX8
W-1,875.793,761.755,802.194,1069.761,1074.696,1100.488,1110.389,1023.747,985.24,1016.13,1082.587,0,324.589,268.512,263.351,232.41,311.955,332.332,391.244,480.521,491.68,440.149,743.382,385.357,W-1
W-10,748.924,652.756,671.921,843.323,860.804,877.19,886.193,916.682,840.801,868.818,868.373,324.589,0,57.437,210.887,171.713,42.838,46.435,153.457,183.19,204.21,307.346,433.737,145.859,W-10
W-11,773.491,672.727,696.238,886.95,902.275,920.408,929.607,939.081,869.473,898.228,909.938,268.512,57.437,0,173.084,126.848,50.157,70.14,166.372,224.042,241.252,321.958,490.124,158.63,W-11
W-12,945.492,842.947,868.244,1054.191,1071.541,1088.075,1097.071,1110.037,1042.39,1071.226,1079.128,263.351,210.887,173.084,0,52.362,169.917,178.821,162.63,271.159,271.213,491.392,624.024,160.221,W-12
W-2,895.78,792.31,818.567,1013.021,1028.9,1046.619,1055.757,1059.628,993.788,1022.848,1036.547,232.41,171.713,126.848,52.362,0,134.389,147.764,164.6,266.196,271.48,440.79,597.594,159.947,W-2
W-3,791.287,694.375,714.23,884.572,902.63,918.552,927.493,958.791,883.545,911.602,910.176,311.955,42.838,50.157,169.917,134.389,0,20.671,120.808,174.377,191.13,347.303,464.425,113.004,W-3
W-4,793.31,698.204,716.435,878.158,897.285,912.315,921.147,961.496,883.875,911.609,904.777,332.332,46.435,70.14,178.821,147.764,20.671,0,107.745,153.962,171.267,353.69,449.834,100.049,W-4
W-5,889.32,798.134,813.049,947.597,970.825,982.299,990.65,1058.676,975.551,1002.362,978.08,391.244,153.457,166.372,162.63,164.6,120.808,107.745,0,109.469,108.789,458.437,482.07,7.807,W-5
W-6,848.646,767.218,774.467,870.61,897.725,905.578,913.413,1018.966,926.118,951.179,904.681,480.521,183.19,224.042,271.159,266.196,174.377,153.962,109.469,0,27.125,449.394,384.55,111.034,W-6
W-7,875.382,794.28,801.315,893.319,921.128,928.309,936.036,1045.698,952.306,977.223,928.026,491.68,204.21,241.252,271.213,271.48,191.13,171.267,108.789,27.125,0,476.07,402.198,112.173,W-7
W-8,456.231,351.562,379.304,632.537,635.166,662.293,672.31,618.851,558.278,588.269,643.061,440.149,307.346,321.958,491.392,440.79,347.303,353.69,458.437,449.394,476.07,0,430.871,451.166,W-8
W-9,612.757,577.336,555.645,516.162,552.619,550.67,556.985,771.033,652.768,670.182,558.491,743.382,433.737,490.124,624.024,597.594,464.425,449.834,482.07,384.55,402.198,430.871,0,480.198,W-9
W-AUX3,882.911,791.367,806.576,943.328,966.246,977.998,986.388,1052.183,969.522,996.414,973.521,385.357,145.859,158.63,160.221,159.947,113.004,100.049,7.807,111.034,112.173,451.166,480.198,0,W-AUX3
