"","x"
"E-1-",0.538827949635241
"E-10",0.610295664983165
"E-13",0.594460227272727
"E-15-",0.686454159203788
"E-2-",0.54874154770849
"E-3-",0.507272727272727
"E-4-",0.520096127295746
"E-5-",0.527408260262661
"E-6-",0.62396694214876
"E-8-",0.607355655758073
"E-AUX5-",0.433080808080808
"W-1-",0.541855250566608
"W-10-",0.680157776108189
"W-11-",0.629564341475699
"W-12-",0.580370026798598
"W-2-",0.63265306122449
"W-3-",0.577080115524845
"W-4-",0.633073950392316
"W-5-",0.655681384669989
"W-6-",0.652681865481033
"W-7-",0.648686868686869
"W-8-",0.705697753985375
"W-9-",0.68850073231687
"W-AUX3-",0.6666793886059
