"","pop_names","N","MLG","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst"
"1","QH-E-1-9",21,20,0.556203848287717,44,14.0058346345894,0.0812714868270483
"2","QH-E-10-9",9,9,0.673362712088202,43,15.0602644087938,0.071252628131189
"3","QH-E-11-5",5,5,0.63994708994709,30,14.7595238095238,0.0684441441388828
"4","QH-E-12-1",1,1,0.555555555555556,14,14,0.0858463724979238
"5","QH-E-13-8",8,8,0.675,45,15.075,0.075869305693264
"6","QH-E-14-9",12,11,0.727873162070228,54,15.550858458632,0.0664936629458383
"7","QH-E-15-9",12,12,0.698147625321538,49,15.2833286278938,0.0684230154141602
"8","QH-E-2-9",25,21,0.560525870755596,38,14.0447328368004,0.0872001258458821
"9","QH-E-3-9",26,21,0.49565842630924,40,13.4609258367832,0.0908852588378899
"10","QH-E-4-9",19,15,0.53966176936178,40,13.856955924256,0.0826530785206758
"11","QH-E-5-9",32,19,0.480011058092705,45,13.3200995228343,0.0995322794384963
"12","QH-E-6-9",15,12,0.65759952407462,47,14.9183957166716,0.08885181203538
"13","QH-E-7-9",27,20,0.602882050061051,49,14.4259384505495,0.0895009700536216
"14","QH-E-8-9",29,23,0.569135024426684,52,14.1222152198402,0.0775993959837878
"15","QH-E-AUX2-4",4,3,0.43042328042328,20,12.8738095238095,0.0966223569329157
"16","QH-E-AUX3-2",2,2,0.592592592592593,20,14.3333333333333,0.07316310387486
"17","QH-E-AUX5-9",11,8,0.479441026809448,27,13.314969241285,0.100942550176633
"18","QH-E-AUX6-2",1,1,0.75,14,NA,0.0553746430865373
"19","QH-E-AUX7-6",6,4,0.60695847362514,27,14.4626262626263,0.0637701556729619
"20","QH-E-AUX8-9",11,8,0.607472186109957,39,14.4672496749896,0.0811714778413297
"21","QH-W-1-9",39,28,0.566434946525831,44,14.0979145187325,0.121061950956812
"22","QH-W-10-9",31,24,0.669420380857417,69,15.0247834277168,0.0759201105149607
"23","QH-W-11-9",20,19,0.647243792525099,62,14.8251941327259,0.103921656941728
"24","QH-W-12-9",20,19,0.610831820217119,55,14.4974863819541,0.0988049042233143
"25","QH-W-2-9",11,7,0.717331206804891,47,15.455980861244,0.102556968661063
"26","QH-W-3-9",33,32,0.59130944377594,67,14.3217849939835,0.0908998859391996
"27","QH-W-4-9",33,26,0.654756935860044,62,14.8928124227404,0.0836101428456355
"28","QH-W-5-9",30,29,0.700762662316662,84,15.30686396085,0.0668056252128671
"29","QH-W-6-9",35,34,0.625807330877517,80,14.6322659778977,0.0745605174944449
"30","QH-W-7-9",32,30,0.66562855523546,74,14.9906569971191,0.0742790084985875
"31","QH-W-8-9",39,37,0.692362810730393,76,15.2312652965735,0.0652078912089531
"32","QH-W-9-9",33,32,0.699521540711746,85,15.2956938664057,0.0622659420131357
"33","QH-W-AUX1-8",8,7,0.725274725274725,37,15.5274725274725,0.0946093693258684
"34","QH-W-AUX2-5",5,3,0.475132275132275,21,13.2761904761905,0.155883488869612
"35","QH-W-AUX3-9",18,17,0.708282629172289,58,15.3745436625506,0.0855642896623976
"36","QH-W-AUX4-1",1,1,0.625,13,NA,0.062358122798597
