Site Name,Estimated population size,Category,Two cat
QH-E-1,>>1000,very large,not small
QH-E-10,unknown,unknown,small
QH-E-13,unknown,unknown,small
QH-E-14,unknown,unknown,small
QH-E-15,unknown,unknown,small
QH-E-2,<100,small,small
QH-E-3,>1000,large,not small
QH-E-4,>1000,large,not small
QH-E-5,<100,medium,small
QH-E-6,20,very small,small
QH-E-7,unknown,unknown,small
QH-E-8,100-1000,medium,not small
QH-E-AUX8,10,very small,small
QH-W-1,50,small,small
QH-W-10,100,medium,small
QH-W-11,unknown,unknown,small
QH-W-12,unknown,unknown,small
QH-W-2,50,small,small
QH-W-3,200,medium,not small
QH-W-4,20,very small,small
QH-W-5,200,medium,not small
QH-W-6,200,medium,not small
QH-W-7,300,medium,not small
QH-W-8,200,medium,not small
QH-W-9,300,medium,not small
QH-W-AUX3,>1000,large,not small
