Pop_ID,Region,Lobes,Length,BLBW,MLBW,ALBW,LVL,UVL,UMLS,LMLS,LLA,ULA,MLA,LWR_1,LWR_2,LWR_3,LODR_1,LODR_2
W1,West,9,35.85964912,17.14035088,20.0877193,11.07017544,8.280701754,12,13.61403509,14.87719298,131.6842105,130.9473684,142.2105263,48.72517728,56.78902894,31.62736246,32.22655306,38.40902404
W2,West,10.36363636,47.04545455,19.77272727,27.5,11.86363636,11.68181818,19.86363636,16.27272727,16.27272727,148.3181818,131,148.1363636,42.45495938,58.28789648,25.2204645,40.29371859,71.43767225
W3,West,9.5,45.51612903,19.01612903,26.87096774,12.14516129,10.70967742,17.62903226,16.88709677,16.03225806,134.9516129,129.6451613,148.6774194,42.18376231,58.9119129,26.89685148,36.64075197,71.65121336
W4,West,10.2,47,14.4,23.85,12.65,11.6,20.6,12,11,137.95,136.05,151.2,31.71953727,51.25577411,26.72539122,48.29193753,122.0147908
W5,West,9.93220339,41.98305085,19.11864407,25.79661017,12.23728814,8.813559322,17.6779661,16.55932203,15.88135593,141.6440678,129.3050847,147.3050847,45.90116485,61.87269478,29.41454927,34.55378987,68.53636112
W6,West,10,44.34285714,19.12857143,26.97142857,12.84285714,10.64285714,16.97142857,16.88571429,16.78571429,140.7571429,127.3428571,148.6285714,43.29186083,60.96119768,29.35948901,37.09008898,64.37026336
W7,West,10.390625,41.78125,16.015625,23.71875,11.1875,10.828125,15.328125,14.921875,13.640625,136.21875,128.0625,144.375,39.02355517,57.35461057,27.18653578,36.62514133,76.71383424
W8,West,10.37288136,43.69491525,16.72881356,24.52542373,11.57627119,10.74576271,18.06779661,15.20338983,14.59322034,134.1186441,132.1864407,147.3728814,38.64700749,56.46740817,26.79214693,37.42636433,71.21970091
W9,West,10.85483871,44.24193548,17.30645161,25.0483871,11.67741935,11.75806452,16.74193548,15.24193548,14.58064516,136.5483871,128.483871,145.2096774,39.73104474,57.30845865,26.97394361,38.67871808,75.4745574
W10,West,10.89655172,42.86206897,16.67241379,23.55172414,10.06896552,10.12068966,17.27586207,13.13793103,13.25862069,137.2241379,126.9137931,142.1896552,40.62895628,56.35815746,24.29095227,43.19644765,82.84628137
W11,West,9.083333333,37.30555556,14.88888889,18.44444444,11.61111111,8.305555556,11.16666667,12.44444444,12.94444444,134.3333333,136.25,147.6944444,40.28914881,50.0292851,31.55310403,32.99169874,46.55854786
W12,West,9.266666667,42.83333333,14.73333333,22.5,14.46666667,10.83333333,13.46666667,15.93333333,13.76666667,142.1666667,130.9,150.4666667,35.46462204,53.48116716,34.16955192,28.54362223,70.26380733
WAUX3,West,10.92857143,42.21428571,15.92857143,24.53571429,9.142857143,12.07142857,16.67857143,13.92857143,15.39285714,137.3571429,131.1428571,147.8928571,38.46566,58.47776465,22.12370246,42.91212178,70.13200158
E1,East,8.052631579,53.44736842,19.76315789,24,14.18421053,13.10526316,15.89473684,17.07894737,17.23684211,121.9210526,129.8684211,141.2368421,37.46052328,45.80803511,27.20231572,29.10762151,43.32751364
E2,East,8.05,55.275,19.725,22.525,13.05,13.45,16.9,15,15.5,120.75,139.675,142.85,36.07125636,41.73774744,23.93878989,32.83669516,50.67556585
E3,East,7.756756757,58.45945946,21.56756757,24,15.35135135,13.40540541,16.16216216,16.75675676,17.64864865,118.6756757,133.7027027,141.8648649,37.2518118,41.52316939,26.46900526,30.01711313,37.32139591
E4,East,8.583333333,62.91666667,23.66666667,24.58333333,13.83333333,13.83333333,18.45833333,15.83333333,18.20833333,116.125,131.5,138.5,37.28458678,39.1284418,21.92310506,35.63858077,41.10595536
E5,East,8.619047619,52.92857143,18.04761905,20.95238095,10.95238095,12.80952381,16.78571429,15.0952381,15.73809524,118.5952381,134.7142857,144.6190476,34.45615234,39.62633017,20.83289867,28.04312251,34.40898249
E6,East,8.642857143,55.5,18.57142857,22.28571429,12.71428571,14.35714286,17.14285714,14.28571429,15.42857143,115.6071429,135,139.4642857,33.54764423,40.27087758,22.96513061,35.04985491,45.73264094
E7,East,8.423076923,56.47435897,18.05128205,22.23076923,13.02564103,14.29487179,16.67948718,14.48717949,14.12820513,117.0769231,135.1410256,140,32.23919765,39.45268463,22.93395776,33.93099248,62.41338549
E10,East,8.714285714,55.21428571,19.71428571,23.14285714,12.5,14.14285714,18.07142857,12.35714286,14.07142857,123.7857143,140,147.9285714,35.23064785,42.44672753,23.64433384,44.99706183,73.69614408
