Longitude,Latitude,Pop
-102.6168515,33.372725,QH-E-1
-103.8673878,33.40777,QH-E-2
-103.344343,33.711941,QH-E-3
-103.18341,33.608706,QH-E-4
-100.2758676,35.903003,QH-E-5
-100.19934,35.44526,QH-E-6
-99.92558333,35.767091,QH-E-7
-99.81720607,35.79435,QH-E-8
-101.3319871,32.286168,QH-E-10
-101.3906,33.45861,QH-E-13
-101.0739,33.43528,QH-E-14
-100.112279,35.448712,QH-E-AUX8
-111.98501,34.72734,QH-W-1
-109.617944,36.927164,QH-W-2
-110.1328778,36.616231,QH-W-3
-111.9837,37.09571,QH-W-4
-111.5398813,36.786009,QH-W-5
-110.068672,37.064371,QH-W-6
-109.9730905,37.233943,QH-W-7
-110.6018908,38.065245,QH-W-8
-109.5268944,38.573059,QH-W-9
-109.7249519,38.761722,QH-W-10
-107.1716702,34.998287,QH-W-11
-105.1060839,38.502309,QH-W-12
-110.56879,38.00006,QH-W-AUX3
