"","pop_names[pop_keep]","N","MLG","num_clones","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst","wang.means"
"1","E-1-",20,18,2,0.554328422473584,58,39.7315288851915,0.0821873266275557,0.215327178790325
"2","E-10",9,9,0,0.648942634905202,55,48.183430295195,0.0641920843391697,0.0537717105522989
"3","E-13",8,8,0,0.634090909090909,53,47.1697802197802,0.0713245424061315,0.15751580033218
"4","E-14-",12,9,3,0.703609625668449,67,55.6181641887524,0.0597153180045884,0.0102144403820104
"5","E-15-",12,12,0,0.688702239789196,64,50.13385189316,0.0647284914074421,0.0406130229238689
"6","E-2-",25,22,3,0.561502979050548,56,37.6729474360992,0.0846516711627069,0.249782464258331
"7","E-3-",27,20,7,0.52027972027972,57,37.8123271672054,0.087499680919478,0.238525893255258
"8","E-4-",19,13,6,0.542039725755141,49,39.3875117559786,0.0784110119823118,0.148672164022979
"9","E-5-",32,17,15,0.543469127186998,60,39.1013190779342,0.0904226049930551,0.264728822968091
"10","E-6-",14,11,3,0.653679653679654,60,46.8545463824102,0.0757354986427191,0.112990421967948
"11","E-7-",27,17,10,0.62795641672647,64,45.0290329681549,0.079817163989551,0.156859178578872
"12","E-8-",29,23,6,0.591823929152728,72,44.2575284452446,0.0752232802065403,0.185854528582899
"14","E-AUX8-",11,8,3,0.571686646686647,46,41.4692307692308,0.07304933665972,0.187639742061429
"15","W-1-",39,25,14,0.55316937482351,58,37.0200802737719,0.132082221786218,0.274925857803895
"16","W-10-",29,22,7,0.696162963181991,90,56.5816512928054,0.0681103238437359,0.0208002651805336
"17","W-11-",20,19,1,0.646579593948015,84,52.7981065257778,0.0898711646181637,0.0888186860317512
"18","W-12-",18,15,3,0.600562272976066,69,48.1774586892018,0.097869035594754,0.0806624363266924
"19","W-2-",11,7,4,0.681318681318681,53,50.2857142857143,0.0833756876237336,-0.0442065875283903
"20","W-3-",33,32,1,0.586373324835305,88,49.8812200249684,0.0852829648582055,0.0984151834834873
"21","W-4-",33,26,7,0.646179211076567,79,48.6212027648913,0.0797842098732886,0.142777702477449
"22","W-5-",30,27,3,0.668129400093884,103,55.5121553265896,0.0631411131065187,0.0515256214978451
"23","W-6-",33,31,2,0.663381568193837,106,53.9142068422615,0.0638771700523949,0.0512772733252382
"24","W-7-",32,30,2,0.659681561376477,93,52.489636592622,0.0661959158839474,0.0780073235487117
"25","W-8-",39,35,4,0.716321416974402,98,54.3538266773493,0.0613155859972986,0.0349298402996635
"26","W-9-",30,28,2,0.701055932188008,106,57.5550991639708,0.0599330614354097,-0.000774995636123088
"27","W-AUX3-",16,14,2,0.693592518592519,73,53.4069040379163,0.0752979768081378,0.0511928482448734
