x,BIO1 , Annual Mean Temperature
 ,BIO2 , Mean Diurnal Range (Mean of monthly (max temp - min temp))
 ,BIO3 , Isothermality (BIO2/BIO7) (* 100)
 ,BIO4 , Temperature Seasonality (standard deviation *100)
x,BIO5 , Max Temperature of Warmest Month
x,BIO6 , Min Temperature of Coldest Month
 ,BIO7 , Temperature Annual Range (BIO5-BIO6)
 ,BIO8 , Mean Temperature of Wettest Quarter
 ,BIO9 , Mean Temperature of Driest Quarter
 ,BIO10 , Mean Temperature of Warmest Quarter
 ,BIO11 , Mean Temperature of Coldest Quarter
 ,BIO12 , Annual Precipitation
x,BIO13 , Precipitation of Wettest Month
x,BIO14 , Precipitation of Driest Month
 ,BIO15 , Precipitation Seasonality (Coefficient of Variation)
x,BIO16 , Precipitation of Wettest Quarter
 ,BIO17 , Precipitation of Driest Quarter
x,BIO18 , Precipitation of Warmest Quarter
 ,BIO19 , Precipitation of Coldest Quarter
